AgendaDate,StartTime,EndTime,SessionCode,Speakers
15/3/2025,18:30,21:00,WR01,
16/3/2025,9:00,9:10,KN01,John David
16/3/2025,9:10,9:30,KN02,
16/3/2025,9:30,9:50,KN03,
16/3/2025,9:50,10:10,KN04,
16/3/2025,10:10,10:40,TB01,
16/3/2025,10:40,11:00,KN05,"Michael,Lawrence"
16/3/2025,11:00,11:20,KN06,
16/3/2025,11:20,11:40,KN07,
16/3/2025,11:40,12:00,KN08,
16/3/2025,12:00,13:00,Lunch1,
16/3/2025,13:00,17:45,IS01,
16/3/2025,13:00,17:45,APS01,
16/3/2025,13:00,14:00,PS01,
16/3/2025,13:00,13:30,MERT01,
16/3/2025,13:00,13:30,MERT03,
16/3/2025,13:00,13:30,FZS01,
16/3/2025,13:00,13:30,MH01,
16/3/2025,13:00,13:30,MO01,
16/3/2025,13:00,14:00,SAF01,
16/3/2025,13:30,14:00,MH02,
16/3/2025,13:30,14:00,MO02,
16/3/2025,13:30,14:00,MERT02,
16/3/2025,13:30,14:30,MERT04,
16/3/2025,14:15,15:15,CS01,
16/3/2025,14:15,15:15,PSIS01,
16/3/2025,14:15,15:15,ME02,
16/3/2025,14:15,15:15,PS02,
16/3/2025,14:15,14:45,FZS02,
16/3/2025,14:15,14:45,MH03,
16/3/2025,14:15,14:45,MO03,
16/3/2025,14:15,15:15,SAF07,
16/3/2025,14:45,15:15,MH04,
16/3/2025,14:45,15:15,MO04,
16/3/2025,15:15,15:30,TB02,
16/3/2025,15:20,15:45,MI01,
16/3/2025,15:30,16:15,SE01,
16/3/2025,15:30,16:15,PTRM2,
16/3/2025,15:30,17:45,IS02,
16/3/2025,15:30,16:15,PRT01,
16/3/2025,15:30,16:15,CSRT01,
16/3/2025,15:30,16:00,MH05,
16/3/2025,15:30,16:30,SAF02,
16/3/2025,15:30,16:00,FZS03,
16/3/2025,15:30,16:30,SAF03,
16/3/2025,15:30,16:00,MO05,
16/3/2025,15:45,16:15,MI02,
16/3/2025,16:00,16:30,MH06,
16/3/2025,16:00,16:30,FZS04,
16/3/2025,16:00,16:30,MO06,
16/3/2025,16:15,17:00,PTRT02,
16/3/2025,16:15,17:00,CSRT02,
16/3/2025,16:15,16:45,MI04,
16/3/2025,16:15,17:00,SE03,
16/3/2025,16:30,17:45,IST01,
16/3/2025,16:30,17:00,FZS05,
16/3/2025,16:30,17:00,SAF04,
16/3/2025,16:30,17:30,SAF05,
16/3/2025,16:30,17:00,MO07,
16/3/2025,16:45,17:15,MI06,
16/3/2025,16:45,17:30,PTRM3,
16/3/2025,17:00,17:30,MH07,
16/3/2025,17:00,17:30,AS05,
16/3/2025,17:00,17:45,SE04,
16/3/2025,17:00,17:30,MO08,
16/3/2025,17:15,17:45,MI08,
16/3/2025,17:45,18:15,MI03,
16/3/2025,18:00,18:30,MI07,
16/3/2025,18:30,22:00,FFP,
17/3/2025,8:00,8:30,MI09A,
17/3/2025,8:00,8:30,MI10,
17/3/2025,8:45,9:05,KN09,
17/3/2025,9:05,9:25,KN10,
17/3/2025,9:25,9:55,KN11,
17/3/2025,9:30,11:30,SE02,
17/3/2025,9:55,10:10,KN12,
17/3/2025,10:10,10:25,KN13,
17/3/2025,10:10,10:40,MI13,
17/3/2025,10:25,10:35,KN14,
17/3/2025,10:35,10:45,TB03,
17/3/2025,10:45,11:25,PTRT03,
17/3/2025,10:45,11:25,PTRT04,
17/3/2025,10:45,11:25,CSRT03,
17/3/2025,10:45,11:25,CSRT04,
17/3/2025,10:45,12:55,IS03,
17/3/2025,10:45,11:15,MI15,"Dennis,lille,sachin"
17/3/2025,10:45,11:15,MI16,
17/3/2025,10:45,11:25,MH08,
17/3/2025,10:45,11:25,MO09,
17/3/2025,10:45,11:25,AS04,
17/3/2025,10:45,12:55,AS03,
17/3/2025,10:45,15:00,AS02,
17/3/2025,10:45,12:55,AS01,
17/3/2025,11:15,11:45,MI18,
17/3/2025,11:15,11:45,MI19,
17/3/2025,11:30,12:10,PTRT05,
17/3/2025,11:30,12:10,PTRT06,
17/3/2025,11:30,12:10,CSRT05,
17/3/2025,11:30,12:10,CSRT06,
17/3/2025,11:30,12:10,MH09,
17/3/2025,11:30,12:10,AMD04,
17/3/2025,11:30,12:10,MO10,
17/3/2025,11:45,12:15,MI14,
17/3/2025,12:15,12:55,PTRT07,
17/3/2025,12:15,12:55,PTRT08,
17/3/2025,12:15,12:55,CSRT07,
17/3/2025,12:15,12:55,MH010,
17/3/2025,12:15,12:55,TBC,
17/3/2025,12:15,12:55,AS06,
17/3/2025,12:15,12:55,SAF06,
17/3/2025,12:15,12:55,MO11,
17/3/2025,12:30,13:00,MI20,
17/3/2025,13:00,12:10,Lunch02,
17/3/2025,13:45,14:15,MI21,
17/3/2025,14:00,14:30,MI22,
17/3/2025,14:30,15:00,MI23,
17/3/2025,14:30,17:00,PRINT,
17/3/2025,15:00,15:30,MI12,
17/3/2025,16:15,16:45,MI11,
